"Sex","Age","Ethnicity","Rate"
"M",8,"OAS",0.000229362
"M",9,"OAS",0.000139203
"M",10,"OAS",0.000124125
"M",11,"OAS",0.000131877
"M",12,"OAS",0.000153429
"M",13,"OAS",0.000176667
"M",14,"OAS",0.000182142
"M",15,"OAS",0.000202823
"M",16,"OAS",0.000309427
"M",17,"OAS",0.00044927
"M",18,"OAS",0.000514355
"M",19,"OAS",0.000461248
"M",20,"OAS",0.00040551
"M",21,"OAS",0.000423062
"M",22,"OAS",0.000400781
"M",23,"OAS",0.000431508
"M",24,"OAS",0.000409776
"M",25,"OAS",0.000318009
"M",26,"OAS",0.000341708
"M",27,"OAS",0.000366738
"M",28,"OAS",0.000405368
"M",29,"OAS",0.000450498
"M",30,"OAS",0.000497367
"M",31,"OAS",0.000549142
"M",32,"OAS",0.00063069
"M",33,"OAS",0.000738964
"M",34,"OAS",0.000852841
"M",35,"OAS",0.000933674
"M",36,"OAS",0.000956314
"M",37,"OAS",0.000998342
"M",38,"OAS",0.001018471
"M",39,"OAS",0.001213424
"M",40,"OAS",0.001387571
"M",41,"OAS",0.001419462
"M",42,"OAS",0.001536474
"M",43,"OAS",0.001589861
"M",44,"OAS",0.001860103
"M",45,"OAS",0.002181999
"M",46,"OAS",0.00239944
"M",47,"OAS",0.002749452
"M",48,"OAS",0.00313729
"M",49,"OAS",0.003124424
"M",50,"OAS",0.003404723
"M",51,"OAS",0.004071047
"M",52,"OAS",0.004754527
"M",53,"OAS",0.005708058
"M",54,"OAS",0.006635076
"M",55,"OAS",0.007680526
"M",56,"OAS",0.008658659
"M",57,"OAS",0.009269248
"M",58,"OAS",0.009547579
"M",59,"OAS",0.010351964
"M",60,"OAS",0.011806097
"M",61,"OAS",0.013108125
"M",62,"OAS",0.013703272
"M",63,"OAS",0.013462081
"M",64,"OAS",0.015272904
"M",65,"OAS",0.018401501
"M",66,"OAS",0.020135727
"M",67,"OAS",0.022203178
"M",68,"OAS",0.026557446
"M",69,"OAS",0.029666552
"M",70,"OAS",0.030179201
"M",71,"OAS",0.031810072
"M",72,"OAS",0.034012763
"M",73,"OAS",0.037528609
"M",74,"OAS",0.040767982
"M",75,"OAS",0.042761302
"M",76,"OAS",0.047192667
"M",77,"OAS",0.05283434
"M",78,"OAS",0.058253505
"M",79,"OAS",0.057809688
"M",80,"OAS",0.064292088
"M",81,"OAS",0.071501383
"M",82,"OAS",0.079519081
"M",83,"OAS",0.088435832
"M",84,"OAS",0.098352448
"M",85,"OAS",0.147594597
"M",0,"BLA",0.003215606
"M",1,"BLA",0.000281542
"M",2,"BLA",0.000192312
"M",3,"BLA",0.000139272
"M",4,"BLA",0.00021945
"M",5,"BLA",0.000286034
"M",6,"BLA",0.000280921
"M",7,"BLA",0.00028024
"M",8,"BLA",0.000205745
"M",9,"BLA",0.000137148
"M",10,"BLA",0.000119767
"M",11,"BLA",0.000125819
"M",12,"BLA",0.000150813
"M",13,"BLA",0.000173057
"M",14,"BLA",0.000188811
"M",15,"BLA",0.000219067
"M",16,"BLA",0.000320374
"M",17,"BLA",0.000463813
"M",18,"BLA",0.000509422
"M",19,"BLA",0.000466972
"M",20,"BLA",0.000434384
"M",21,"BLA",0.000421145
"M",22,"BLA",0.000385254
"M",23,"BLA",0.000419678
"M",24,"BLA",0.000412801
"M",25,"BLA",0.000323643
"M",26,"BLA",0.000345365
"M",27,"BLA",0.000370187
"M",28,"BLA",0.000412163
"M",29,"BLA",0.000477941
"M",30,"BLA",0.00051911
"M",31,"BLA",0.000561637
"M",32,"BLA",0.000646257
"M",33,"BLA",0.000743884
"M",34,"BLA",0.000841623
"M",35,"BLA",0.000927169
"M",36,"BLA",0.000976619
"M",37,"BLA",0.001048269
"M",38,"BLA",0.00108396
"M",39,"BLA",0.001282897
"M",40,"BLA",0.001441802
"M",41,"BLA",0.001499892
"M",42,"BLA",0.001675771
"M",43,"BLA",0.001736861
"M",44,"BLA",0.002037305
"M",45,"BLA",0.002428692
"M",46,"BLA",0.002575245
"M",47,"BLA",0.002890919
"M",48,"BLA",0.003384566
"M",49,"BLA",0.003371582
"M",50,"BLA",0.003608663
"M",51,"BLA",0.004426354
"M",52,"BLA",0.005046385
"M",53,"BLA",0.006070855
"M",54,"BLA",0.007172255
"M",55,"BLA",0.008169275
"M",56,"BLA",0.009323897
"M",57,"BLA",0.010106253
"M",58,"BLA",0.010390247
"M",59,"BLA",0.011363883
"M",60,"BLA",0.013194365
"M",61,"BLA",0.014497834
"M",62,"BLA",0.014993059
"M",63,"BLA",0.014872538
"M",64,"BLA",0.017000048
"M",65,"BLA",0.020442186
"M",66,"BLA",0.02217106
"M",67,"BLA",0.024340109
"M",68,"BLA",0.029184593
"M",69,"BLA",0.03262095
"M",70,"BLA",0.033024862
"M",71,"BLA",0.034454527
"M",72,"BLA",0.036634161
"M",73,"BLA",0.040412155
"M",74,"BLA",0.043385371
"M",75,"BLA",0.04542791
"M",76,"BLA",0.05030765
"M",77,"BLA",0.055087719
"M",78,"BLA",0.060384413
"M",79,"BLA",0.060974028
"M",80,"BLA",0.067542738
"M",81,"BLA",0.074819093
"M",82,"BLA",0.082879327
"M",83,"BLA",0.091807887
"M",84,"BLA",0.101698318
"M",85,"BLA",0.156466186
"M",0,"BLC",0.003383493
"M",1,"BLC",0.000275034
